name,target_o2_min,target_o2_max,target_co2_min,target_co2_max,storage_temp_c,source_url
Tomato,3,5,3,5,10,https://postharvest.ucdavis.edu/sites/g/files/dgvnsk12711/files/inline-files/230191.pdf
Apple,2,3,1,2,0,https://postharvest.ucdavis.edu/sites/g/files/dgvnsk12711/files/inline-files/230191.pdf
Banana,2,5,2,5,14,https://postharvest.ucdavis.edu/produce-facts-sheets/banana
Mango,3,5,5,8,13,https://postharvest.ucdavis.edu/produce-facts-sheets/mango
Grapes,2,5,1,3,0,https://hortscans.ces.ncsu.edu/uploads/a/_/a_summar_51c0797a3903a.pdf
Spinach,1,3,8,10,0,https://postharvest.ucdavis.edu/produce-facts-sheets/spinach
Carrot,5,5,3,4,0,https://downloads.regulations.gov/FDA-2011-N-0921-0001/attachment_225.pdf
Capsicum,2,5,2,5,10,https://postharvest.ucdavis.edu/sites/g/files/dgvnsk12711/files/inline-files/230191.pdf
